Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0110912,2015-03-18,2015-03-18,Average Netflix rating: 4.1 Stars,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1932845,1994-05-21,Quentin Tarantino
2,tt0109830,2015-03-18,2015-03-18,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1933669,1994-06-23,Robert Zemeckis
3,tt0317248,2015-03-18,2015-03-18,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",728125,2002-05-18,"Kátia Lund, Fernando Meirelles"
4,tt0118799,2015-03-18,2015-03-18,,La vita è bella,https://www.imdb.com/title/tt0118799/,movie,8.6,116,1997,"Comedy, Drama, Romance, War",660142,1997-12-20,Roberto Benigni
5,tt0064116,2013-06-11,2013-06-11,Average Netflix Rating: 3.8 Stars,C'era una volta il West,https://www.imdb.com/title/tt0064116/,movie,8.5,165,1968,Western,317361,1968-12-20,Sergio Leone
6,tt0102926,2015-03-18,2015-03-18,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1349215,1991-01-30,Jonathan Demme
7,tt0043014,2015-03-18,2015-03-18,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",213384,1950-08-04,Billy Wilder
8,tt0103064,2015-03-18,2015-03-18,,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.5,137,1991,"Action, Sci-Fi",1044428,1991-07-01,James Cameron
9,tt0095765,2015-03-18,2015-03-18,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,"Drama, Romance",248451,1988-09-29,Giuseppe Tornatore
10,tt1853728,2015-03-18,2015-03-18,,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1449070,2012-12-11,Quentin Tarantino
11,tt0169547,2015-03-18,2015-03-18,,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.3,122,1999,Drama,1113466,1999-09-08,Sam Mendes
12,tt0405508,2015-03-18,2015-03-18,,Rang De Basanti,https://www.imdb.com/title/tt0405508/,movie,8.1,167,2006,"Comedy, Crime, Drama",117086,2006-01-26,Rakeysh Omprakash Mehra
13,tt0211915,2015-03-18,2015-03-18,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",730680,2001-04-25,Jean-Pierre Jeunet
14,tt0364569,2013-03-26,2013-03-26,Average Netflix rating: 3.8 Stars,Oldeuboi,https://www.imdb.com/title/tt0364569/,movie,8.4,120,2003,"Action, Drama, Mystery, Thriller",548283,2003-11-21,Park Chan-Wook
15,tt0040522,2015-03-18,2015-03-18,"As ""The Bicycle Thief""",Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,157395,1948-11-21,Vittorio De Sica
16,tt0105236,2013-03-25,2013-03-25,Average Netflix rating: 4 Stars,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Drama, Thriller",968467,1992-01-21,Quentin Tarantino
17,tt0075314,2015-03-18,2015-03-18,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",771716,1976-02-08,Martin Scorsese
18,tt0042192,2015-03-18,2015-03-18,,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,127161,1950-10-13,Joseph L. Mankiewicz
19,tt0053604,2015-03-18,2015-03-18,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",174052,1960-06-15,Billy Wilder
20,tt0208092,2013-03-25,2013-03-25,Average Netflix rating: 4 Stars,Snatch,https://www.imdb.com/title/tt0208092/,movie,8.3,104,2000,"Comedy, Crime",819961,2000-08-23,Guy Ritchie
21,tt0017136,2015-03-18,2015-03-18,Both the original and restored,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",168427,1927-01-10,Fritz Lang
22,tt2106476,2015-03-18,2015-03-18,,Jagten,https://www.imdb.com/title/tt2106476/,movie,8.3,115,2012,Drama,308863,2012-05-20,Thomas Vinterberg
23,tt0071315,2015-03-18,2015-03-18,,Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",312796,1974-06-19,Roman Polanski
24,tt0119217,2013-03-25,2013-03-25,Average Netflix rating: 4.1 Stars,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",912619,1997-12-02,Gus Van Sant
25,tt0993846,2015-03-18,2015-03-18,,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",1289572,2013-12-09,Martin Scorsese
26,tt0120735,2015-03-18,2015-03-18,,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,movie,8.2,107,1998,"Action, Comedy, Crime",560509,1998-08-23,Guy Ritchie
27,tt0978762,2015-03-18,2015-03-18,,Mary and Max.,https://www.imdb.com/title/tt0978762/,movie,8.1,92,2009,"Animation, Comedy, Drama, Family",172087,2009-01-15,Adam Elliot
28,tt0117951,2013-03-26,2013-03-26,Average Netflix rating: 3.8 Stars,Trainspotting,https://www.imdb.com/title/tt0117951/,movie,8.1,93,1996,Drama,661820,1996-02-23,Danny Boyle
29,tt0116282,2015-03-18,2015-03-18,,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Thriller",649717,1996-03-08,"Ethan Coen, Joel Coen"
30,tt0266697,2015-03-18,2015-03-18,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Drama, Thriller",1058655,2003-09-29,Quentin Tarantino
31,tt0245712,2015-03-18,2015-03-18,,Amores perros,https://www.imdb.com/title/tt0245712/,movie,8.1,154,2000,"Drama, Thriller",233785,2000-05-14,Alejandro G. Iñárritu
32,tt0075686,2015-03-18,2015-03-18,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",259560,1977-03-27,Woody Allen
33,tt0092005,2015-03-18,2015-03-18,,Stand by Me,https://www.imdb.com/title/tt0092005/,movie,8.1,89,1986,"Adventure, Drama",383737,1986-08-06,Rob Reiner
34,tt0469494,2015-03-18,2015-03-18,,There Will Be Blood,https://www.imdb.com/title/tt0469494/,movie,8.2,158,2007,Drama,552559,2007-09-27,Paul Thomas Anderson
35,tt0044706,2015-03-18,2015-03-18,,High Noon,https://www.imdb.com/title/tt0044706/,movie,8.0,85,1952,"Drama, Thriller, Western",101603,1952-05-01,Fred Zinnemann
36,tt1220719,2013-03-25,2013-03-25,Average Netflix rating: 4.4 Stars,Ip Man,https://www.imdb.com/title/tt1220719/,movie,8.0,106,2008,"Action, Biography, Drama, History",218573,2008-12-12,Wilson Yip
37,tt0056217,2013-06-11,2013-06-11,Average Netflix Rating: 3.9 Stars,The Man Who Shot Liberty Valance,https://www.imdb.com/title/tt0056217/,movie,8.1,123,1962,"Drama, Western",73350,1962-04-13,John Ford
